,names,logFC_C
85756,Nap1l4,0.11238741
85907,Gtf3c2,0.112554654
85900,Dhx38,0.112679645
85712,Prelid1,0.11322735
85798,Hdlbp,0.11332393
85717,Rbbp5,0.11524352
85800,Zfp91,0.11690424
86029,Epc2,0.117078
85853,Phtf1,0.117196284
85897,Psmb1,0.11731827
85952,Dek,0.117607206
85871,Nasp,0.117754124
85934,Fastk,0.118364245
85615,Tm9sf3,0.11856081
85837,Traf7,0.118578136
85836,Mtdh,0.11925079
85831,Dmxl1,0.11949903
85378,Dhx9,0.11953564
85216,Eef1g,0.12157387
85740,Ppp2cb,0.12212864
85733,Ndufb8,0.12236037
85553,Sae1,0.122443445
85464,Ola1,0.12344644
85659,U2surp,0.123845816
85561,Tia1,0.12432245
85179,Brd4,0.12552875
85505,Morf4l1,0.12574548
85675,Foxn2,0.12576458
85840,Ncoa1,0.12602578
85555,Srrt,0.12643936
85757,Ddx49,0.1267032
85577,Tpst2,0.12817667
85608,Rprd1b,0.1282802
85566,Gimap5,0.12840836
85423,Syf2,0.12951985
85681,Cops5,0.12962037
86046,Suv39h1,0.1309287
86021,Pdzd8,0.13109386
85622,Vdac2,0.13212474
85926,Stoml2,0.13311411
85818,Ireb2,0.13311975
85962,Zkscan1,0.13598578
84977,Lman2,0.13728167
85690,Cdc73,0.13765848
85501,Zbtb7a,0.13770753
85761,Mis12,0.13786751
86022,Atp2c1,0.13840263
85271,Sumo2,0.13850878
85707,Gfus,0.1390101
85180,Ybx1,0.14001636
85567,Zc3h7a,0.14049461
85531,Shoc2,0.14138223
85746,Ctsz,0.1414892
85503,Abcf2,0.14153871
85759,Tollip,0.14237735
85144,Nol7,0.14271222
85896,Gcc1,0.14275225
85389,Sugp1,0.14295395
85803,Brms1,0.14369027
85994,Ptcd2,0.14461404
85538,Ctnnbl1,0.14502552
85388,Trappc5,0.1455003
85547,Lonp1,0.1457438
85787,Nfs1,0.14592254
85275,Nadk,0.14637719
85479,Srp68,0.14700948
86026,Jpt2,0.14776051
85640,Trim26,0.14783108
85558,R3hdm1,0.14881517
85770,Ift27,0.14930002
85630,Ccnt1,0.14933789
84969,Rbm3,0.14946173
85454,Dad1,0.15008825
85763,Gfpt1,0.15023787
85728,Dnajb1,0.15039161
85953,Pag1,0.15077403
85563,Paxip1,0.15080032
85352,Kansl2,0.15088592
85321,Sp1,0.15131618
85754,Ywhaz,0.15143521
85489,Clasp1,0.15182787
85603,Arl6ip6,0.15221885
85361,Dtymk,0.15337108
85804,Rad1,0.15499331
85411,Nelfcd,0.1553661
85848,Fiz1,0.15567398
84972,Pds5a,0.15572038
85565,Farsb,0.15586679
85594,Adprm,0.1562177
85912,Zfp180,0.15704145
85517,Egln2,0.15729629
84882,H3f3b,0.15759453
85638,Rad54l2,0.15864983
85599,Gripap1,0.15910628
85466,Sp2,0.16086687
85738,Sharpin,0.16087247
85987,Zfp397,0.16106158
84998,Nsmce4a,0.16159941
85974,Ero1a,0.1617417
85750,Taf15,0.16345194
85226,Sec61g,0.16349275
85919,Prpf4,0.16374418
85621,Pold2,0.16389608
85204,Srsf4,0.1642766
85500,Zfp746,0.16452317
86044,Rbm34,0.16583095
85030,Rnf4,0.16609396
