genes,cluster,IFNA_IL2,IFNA_IL21,IFNA_IL27,IFNA_IL6,IFNA_TNF,IL12_IFNA,IL12_IL2,IL12_IL21,IL12_IL27,IL12_IL6,IL12_TNF,IL21_IL27,IL2_IL21,IL2_IL27,IL2_TNF,IL4_IFNA,IL4_IL12,IL4_IL2,IL4_IL21,IL4_IL27,IL4_IL6,IL4_TNF,IL6_IL2,IL6_IL21,IL6_IL27,IL6_TNF,TNF_IL21,TNF_IL27
Abhd6,-1,-0.0385421557878549,-0.010846609777807,0.0174223249955523,-0.1706417315358772,-0.0671424229505795,-0.1575872486857169,-0.1790185499068942,-0.0377055100172175,-0.3077061848357987,-0.259182340362303,-0.0662462592521209,-0.0787734447874242,-0.0474309038699036,-0.0970161107434004,-0.1081569792156644,-0.0254529504746411,-0.0472496643240868,0.0375919354925228,-0.2215835614602686,-0.180725391562043,-0.1930023354509381,-0.0574887894259067,0.0554259619454404,-0.424803253893895,-0.0340736572674899,-0.1640173151851997,-0.042066099398491,-0.0812805669185223
Abi3,-1,-0.0616834044637867,0.1031564398803063,-0.1119526351773953,-0.0529193443993732,0.0296973262833815,-0.050678624427721,-0.037556257131858,0.2249009011359238,0.0647159963920731,0.0186097105401565,6.941004892597848e-05,-0.1260767257021634,0.0078194778566028,-0.2755866622677744,-0.2333553282588323,0.01502015549227,0.0230720755549736,-0.1067842152147817,0.0183164937652516,-0.1547714298479925,-0.0868269930850027,0.0897557456376223,-0.2927370230408376,-0.3798749624451913,-0.3845432977453078,0.4492621898079225,0.4173330781081524,0.2964805318037517
Ablim2,-1,0.1433557038681302,0.0478409264728424,0.1033493614913354,0.0331886501997766,0.0507225313351957,0.1856304617508655,-0.016224763589537,0.2696057094685875,-0.1999116039657165,-0.346106869215903,-0.0157066003139226,0.1168093708456751,0.1156952038968515,-0.1383247591709863,-0.1421360844040086,-0.1169943760641938,-0.0195640235012429,0.0471846924249632,-0.0060008636490751,-0.0626852102186014,-0.1809950327680566,-0.0897047056687527,-0.0768884877119305,0.0034727798550842,-0.1856410344385829,-0.13483565950946,-0.1508846004484708,0.0030430997779203
Abtb1,-1,0.0256121761470765,0.0293366866100178,0.050662069071618,0.1276801862458296,-0.0479448587556023,0.0749587060499778,0.0262174038652656,-0.0938936747645755,-0.0154240380908424,0.029001762898381,-0.0459144661441037,0.0700154546318546,-0.1288396171464857,0.0203028257445141,-0.1086978353389313,0.0024766778527919,-0.005820184219727,0.1042229329272848,-0.0525670431184552,0.0517900548122227,0.1347089124929003,-0.1991226054613214,0.0774606675159435,0.0825695970697909,0.0710220282185119,-0.1646147454496933,-0.1342877083307715,-0.0659007407021088
Abtb2,-1,0.0504218291644944,-0.043129038704041,0.0431348831785622,-0.1983821473400205,-0.0425494063738032,0.2074013624772369,-0.0356228183385809,0.2237927594626552,0.1460826614570929,0.0753257266569962,0.0883570389697101,-0.0643029749527738,0.0258830629887032,-0.118598103221206,0.0815113183418587,-0.0169472833989316,0.0429022790571431,0.1326053151485774,0.1069051997679086,-0.0771108147578677,-0.00014795945965304997,-0.0960554352321308,-0.0841161035716572,-0.2351691690043612,-0.2161072620989656,-0.2412311523370399,-0.0777515405578367,-0.0249986797547565
Abtb3,-1,0.2974895126426296,0.1963950328778484,0.2200319601094134,0.3194541348983505,-0.1652569974248548,-0.1142436427785378,0.0806443541472275,0.1715575010542951,-0.1505151151577572,0.1540459411475237,-0.0052270334283212,0.2605107577579807,0.8387372834598212,0.4998232391756754,0.0175627554506916,0.1600540363258053,-0.0843289300273499,0.5890255441888445,0.3271055840942939,0.2661917822656671,0.5088410190010464,-0.3476923682401648,0.679018551769439,0.8344695189220019,0.2811191591687718,-0.178626133226826,-0.1187447505253312,-0.4246866328119535
Acaa2,-1,-0.1681580270843978,-0.0353990854586122,-0.0252492982447107,-0.0283460211504176,-0.0870957478997447,-0.1333563018781637,-0.049337491732969,-0.1030036519241941,-0.0864810971447218,0.0246290271547529,-0.0200900290843999,0.0160350467590741,-0.041691581202707,-0.0387538581207435,-0.0744544861592225,-0.1062826232075198,-0.0643273532557347,-0.1185804094631147,0.0002638465248888159,-0.0423557260599824,-0.0358667708765429,0.1509963309144192,-0.0509369007331109,0.0668505745101456,0.1205831305204815,0.0156650104310823,-0.0231567244201147,0.0082500868224591
Acad10,-1,0.0666325765092092,0.1112204734451519,0.05099672631115,0.0100519106486972,-0.0929403544772689,-0.0167272381153764,0.0708435853967362,0.1141237812184814,-0.0375688941507187,0.1257510534076545,0.0954441626777997,-0.0001282084150498736,0.0701796893839794,-0.081549225040717,0.0324740457233725,0.0531531288754461,0.0229544312484141,0.067024200092491,-0.175875338351018,0.0217099207807635,0.1005960486022591,-0.1005955629911313,0.0041406010239987,0.1830087248498534,0.0577087792376505,-0.1113934359987224,-0.0227934996057401,0.1287812215726089
Acads,-1,0.0375996018663723,-0.0143100195322262,0.0270520051116573,-0.0061337666727291,-0.0139963095164215,0.00011517948548728658,0.0471304618551285,-0.1157175001312184,-0.0260521450642568,0.0902829349613897,-0.0101344033605897,-0.0450438521229907,-0.133135833479581,-0.0173291507474245,-0.0196173826974841,-0.0097538328876915,0.1002398089208413,-0.0022244367094039,-0.0036175968252584,0.0245029311118783,0.0573808148225116,0.0578819195086903,0.0470463516427134,0.0224729376742792,0.0835160910835465,-0.0746783159905971,-0.0670054400198073,0.0597696622350184
Acadsb,-1,0.1730836995470899,0.0912295631220722,0.0911052492493283,0.2181427160073425,0.1532246410478155,0.0697984930876014,0.0679928245868759,0.1633250513152231,0.124923318036156,0.1739160073323549,0.0054198677219663,0.1538699885139949,-0.0205295778503011,0.0932232741660256,-0.0381295047107625,0.1574849270630368,0.0412166746977697,0.1138239016531929,0.1366718816155203,0.0971733750482604,0.1495100409696358,-0.0355260281474057,0.0190921238775258,0.0423922298948426,0.1147010938492078,-0.1719764003271722,0.0431426230833062,-0.0195095363443607
