interaction,name,adj_pval,lfc,expected_lfc_single,expected_lfc_abs_single,diff_magnitude_1,diff_magnitude_2
IL6_TNF,Bcl2a1b,0.02822078062643108,-0.33794079926570536,-0.0011234279737385444,1.8905022606505435,301.81216345459666,1.1787571516309194
IL6_IL2,Ago2,0.0029929543086135,-0.14159714370564103,0.7921575912802921,0.7921575912802921,1.178748705136803,1.178748705136803
IFNA_IL6,Prkcq,0.07745399716282043,-0.096138174520196,0.5378702700954416,0.5378702700954416,1.1787385915624913,1.1787385915624913
IFNA_IL2,Gimap6,3.8716593458182103e-4,0.15237511881458643,-0.8525714842045417,0.8525714842045417,1.1787241558480626,1.1787241558480626
IL12_IFNA,Oas2,0.0068349421326992,0.8876046271105472,4.337372289860764,4.967517914630734,1.2046410978336934,1.1786817163751544
IL2_IL27,Lfng,6.091847093646909e-4,-0.1449934715837397,0.8115814125026626,0.8115814125026626,1.1786554858823408,1.1786554858823408
IL6_IL27,Rras2,0.00574680817091249,0.1939117597858815,0.5381993567349703,1.0857096348538655,1.3602972715580017,1.178603701727287
IL2_IL27,Pik3ip1,7.885620340383632e-9,0.367523585923347,-2.0584474732930262,2.0584474732930262,1.1785440681347077,1.1785440681347077
IL2_TNF,Sash3,2.6973832486275743e-5,0.1818840406129541,-1.0189315245636883,1.0189315245636883,1.1785046749739516,1.1785046749739516
IL12_IL2,Pik3ip1,0.0407711891161702,-0.2919234104570733,-1.6355226391086368,1.6355226391086368,1.1784893730460204,1.1784893730460204
IL6_TNF,Pde6d,0.02517268562871266,-0.24557440005471237,0.837206489825338,1.3765067374969389,1.2933259632351217,1.1784040668782114
IFNA_TNF,Lpar6,0.09123896619123006,0.18229400971342652,-1.021929093877686,1.021929093877686,1.178382248636954,1.178382248636954
IL6_IL27,Malt1,2.124922081864302e-7,-0.3523331807597651,1.9751821784367927,1.9751821784367927,1.1783800930396255,1.1783800930396255
IFNA_IL2,Ncoa7,4.109383263655805e-5,-0.34452158309433767,1.9318412988205131,1.9318412988205131,1.178338450112173,1.178338450112173
IL4_IL21,Ltb,0.09116742449434118,-0.09293589715562128,-0.5213509359538354,0.5213509359538354,1.178259768510036,1.178259768510036
IL2_TNF,Ctsd,0.01447449006694422,0.26807476009509806,-1.5041061621757086,1.5041061621757086,1.1782286163280686,1.1782286163280686
IL4_IFNA,Shisa5,1.0567658161618851e-25,0.22209651608865347,0.33565601578191157,1.246256695792083,1.6616789380976207,1.1782108909332645
IL4_IL2,Lsm7,0.08509303476968628,-0.12327754944910092,0.6918463376722687,0.6918463376722687,1.1781863149899308,1.1781863149899308
IL6_IL2,Ralbp1,0.00265601757962594,0.192974620625398,-1.083220559312147,1.083220559312147,1.1781489641850393,1.1781489641850393
IFNA_TNF,Rock2,0.06150412279054047,-0.19353665033596928,0.5203294394788431,1.0865490475865558,1.371950221632306,1.178120491445695
IL4_TNF,Acp5,1.2202396792411832e-5,0.28909404974174857,-1.623108853965061,1.623108853965061,1.1781113133820484,1.1781113133820484
IL6_IL27,Midn,0.03680802390762161,-0.14632010334953263,0.8215444349147016,0.8215444349147016,1.178103699728335,1.178103699728335
IFNA_IL27,Etv6,6.279675661715978e-4,-0.3978350360312683,2.2338082922339337,2.2338082922339337,1.1780972151524296,1.1780972151524296
IL6_IL27,Map2k6,0.07751889451131844,0.38207486014516007,-2.145598142188605,2.145598142188605,1.1780738212960171,1.1780738212960171
IL4_IL27,Tecpr1,0.00408817639622889,0.1882155588533022,-1.0571381696697881,1.0571381696697881,1.1780425343189471,1.1780425343189471
IL4_IL2,Spsb1,0.01600342871794662,0.24521725804386987,1.3774239307074327,1.3774239307074327,1.1780259893683773,1.1780259893683773
IFNA_IL6,Vwa5a,0.01370643980192915,-0.26830739606235693,1.507196949466946,1.507196949466946,1.1780174755245159,1.1780174755245159
IL2_IL27,Il2rb,1.1447244838682347e-9,-0.27396107747029075,1.5391815110787257,1.5391815110787257,1.1779914035468675,1.1779914035468675
IL4_TNF,Plcg1,4.035856695973654e-5,0.16599121824515925,-0.9325965130459174,0.9325965130459174,1.1779882467102754,1.1779882467102754
IL2_IL21,Smc4,1.8212904667165138e-13,0.24780462470827253,-1.3925783841102715,1.3925783841102715,1.177946625867381,1.177946625867381
IL4_TNF,Dap,0.0024554570117486,0.1842941013294282,-1.0357367880006447,1.0357367880006447,1.1779352664350022,1.1779352664350022
IL4_IFNA,Med28,0.08880189015369343,0.1129948924632124,0.6350354233230493,0.6350354233230493,1.1779347864910061,1.1779347864910061
IL4_IL2,Accs,0.03128141704498277,0.23709820110709803,-1.332914716105811,1.332914716105811,1.1778794983971625,1.1778794983971625
IFNA_IL2,Saraf,0.00215104515633842,0.13442088659542778,-0.7557347407700917,0.7557347407700917,1.1778678143847843,1.1778678143847843
TNF_IL21,Ly6a,0.01127897539368154,0.3894729073718923,1.1531963143386423,2.190486561156793,1.3377333958921425,1.1778020072244644
TNF_IL27,Inpp4a,0.01511791253732319,0.21051899228019424,-1.1840322211215244,1.1840322211215244,1.177798364372879,1.177798364372879
IL6_IL2,Spata13,0.0259402290705548,0.10076050662493195,-0.5668460625427886,0.5668460625427886,1.1777563844634205,1.1777563844634205
IL4_TNF,Treml2,5.561549462256528e-12,0.4122504302866989,0.0024952042895005633,2.319754372091971,166.21710547764985,1.177712966185695
IL4_TNF,Eya2,0.04946600341169647,0.5107140743728488,-2.8738515217358582,2.8738515217358582,1.177710668247874,1.177710668247874
TNF_IL27,Hif1a,0.08713413284162035,0.12827469672989708,0.7219678330884781,0.7219678330884781,1.1776737007536136,1.1776737007536136
IL6_TNF,Macf1,0.00173880710860062,-0.14509737629365763,-0.8168112920937887,0.8168112920937887,1.1776387982121543,1.1776387982121543
IL4_IFNA,Selenow,1.5312151826480226e-5,0.17162484621185278,0.8463510267613481,0.9662604158763359,1.2027821090601065,1.1776175898256167
IL2_IL27,Scpep1,0.08338872740053804,-0.2647209610692048,0.9735372000321441,1.4906041441784867,1.2719166366323384,1.1775930666119943
IL6_IL2,Prxl2c,0.04477917285200231,0.2009167867485529,-1.131333668983196,1.131333668983196,1.1775928642954028,1.1775928642954028
IFNA_IL6,Ikzf3,0.02135986206745882,0.138167829658274,-0.7780998046862513,0.7780998046862513,1.177570831950005,1.177570831950005
IL4_TNF,Wars1,0.0810131806207849,-0.15781099145207703,0.8888026004034402,0.8888026004034402,1.1775546014159324,1.1775546014159324
IFNA_TNF,Vps54,0.0913343292662032,-0.12412419529278128,0.6173721013596186,0.6991223161725376,1.2010524852344746,1.1775428883064698
IL6_IL2,Cyth3,0.00879250408032939,0.3168057447776902,-1.7848820598016037,1.7848820598016037,1.1774939375058229,1.1774939375058229
