feature_call_oBC_CR,count
IL6_A3|IL2_B1,2
IL27_A7|p129_C9,2
IL27_A7|IL27_C7,2
IL2_B1|IL27_C7,2
IL12_A4|IFNC_C5,2
IL12_A4|TNF_B8,2
IL27_A7|TNF_B8,2
TNF_A8|IL2_B1,2
TNF_A8|IL4_B2,2
IL27_A7|IFNC_C5,2
IL27_A7|IL21_B6,2
IL21_B6|IL4_C2,2
IL21_B6|IL6_C3,2
IL21_B6|IL27_C7,2
IL27_A7|IFNB_B5,2
IL4_A2|IFNC_C5,2
IL6_A3|TNF_B8,2
IL6_A3|IL6_B3,2
IL6_A3|IL27_C7,2
IL12_B4|IL6_C3,2
IL2_B1|IL6_C3,2
IL2_A1|IL6_B3,2
IFNA_A5|IL4_B2,2
IFNB_B5|IL21_C6,2
p129_B10|IFNC_C5,2
IFNA_A5|IL21_B6,2
IFNB_B5|IL27_C7,1
IFNA_A5|p129_B9,1
IFNA_A5|IL12_B4,1
IL27_B7|IFNC_C5,1
IL27_B7|IL4_C2,1
TNF_B8|p129_C10,1
p129_A9|IFNC_C5,1
p129_A9|IL6_B3,1
IFNA_A5|IL6_C3,1
IFNA_A5|IL2_C1,1
IFNB_B5|IL2_C1,1
IL6_B3|TNF_C8,1
IL2_A1|IL21_B6,1
IL12_B4|p129_C10,1
IL12_A4|p129_C10,1
IL4_A2|IL6_B3,1
IL6_A3|p129_B9,1
IL6_B3|IL2_C1,1
IL6_B3|IL21_C6,1
IL4_B2|IL4_C2,1
IL12_A4|IL2_C1,1
IL12_A4|IL4_B2,1
IL12_A4|IL12_B4,1
IL12_A4|IL21_B6,1
IL12_A4|IL27_B7,1
IL27_B7|IL6_C3,1
IL6_A3|IFNB_B5,1
IL27_A7|IL27_B7,1
IL12_A4|p129_B9,1
TNF_B8|IL2_C1,1
p129_B9|IFNC_C5,1
p129_A10|IL6_B3,1
p129_A10|IL27_C7,1
